Start Time, End Time, Activity Number, Activity
28/09/2020 00:15:22-04:00,28/09/2020 00:16:10-04:00,1, Mobile Phone
28/09/2020 00:17:34-04:00,28/09/2020 00:18:14-04:00,2,  Lying Flat
28/09/2020 00:20:32-04:00,28/09/2020 00:22:20-04:00,3,  Computer Tasks
28/09/2020 00:23:58-04:00,28/09/2020 00:25:55-04:00,4,  Writing
28/09/2020 00:28:04-04:00,28/09/2020 00:28:20-04:00,5,  Leisure walk
28/09/2020 00:30:46-04:00,28/09/2020 00:31:29-04:00,6,  Moving items from one location to another
28/09/2020 00:33:10-04:00,28/09/2020 00:33:57-04:00,7,  Repeated face touching
28/09/2020 00:35:06-04:00,28/09/2020 00:35:35-04:00,8,  Eating and Drinking
28/09/2020 00:36:38-04:00,28/09/2020 00:37:12-04:00,9,  Simulated smoking
28/09/2020 00:38:22-04:00,28/09/2020 00:38:56-04:00,10,  Adjusting eyeglasses
